#RIC,Date-Time,Price,Volume,Numberoftrades,Bidprice,Ask Price,NumberofBid,NumberofAsk,Depth,Spread,,,
AAPL.OQ,2014-06-09T08:00:00.000000000Z,92.5,1434,14,92.5,92.7,183,183,366,0.2,,,92.5
AAPL.OQ,2014-06-09T09:00:00.000000000Z,92.4,1305,6,92.36,92.55,17,17,34,0.19,,,92.4
AAPL.OQ,2014-06-09T10:00:00.000000000Z,92.2,2403,13,92.13,92.35,157,157,314,0.22,,,92.2
AAPL.OQ,2014-06-09T11:00:00.000000000Z,92.05,38545,200,92.04,92.07,387,387,774,0.03,,,92.05
AAPL.OQ,2014-06-09T12:00:00.000000000Z,92.05,193591,992,92,92.06,1154,1154,2308,0.06,,,92.05
AAPL.OQ,2014-06-09T13:00:00.000000000Z,92.32,3981690,15622,92.28,92.32,20286,20286,40572,0.04,,,92.32
AAPL.OQ,2014-06-09T14:00:00.000000000Z,92.62,2180047,14696,92.6,92.62,39036,39036,78072,0.02,,,92.62
AAPL.OQ,2014-06-09T15:00:00.000000000Z,93.01,1534118,10369,93.01,93.02,31251,31251,62502,0.01,,,93.01
AAPL.OQ,2014-06-09T16:00:00.000000000Z,93.69,1686632,10771,93.69,93.7,34712,34712,69424,0.01,,,93.69
AAPL.OQ,2014-06-09T17:00:00.000000000Z,93.76,1315568,9320,93.76,93.77,34195,34195,68390,0.01,,,93.76
AAPL.OQ,2014-06-09T18:00:00.000000000Z,93.69,1049996,8408,93.68,93.69,32302,32302,64604,0.01,,,93.69
AAPL.OQ,2014-06-09T19:00:00.000000000Z,93.7,1803598,10480,93.69,93.7,35624,35624,71248,0.01,,,93.7
AAPL.OQ,2014-06-09T20:00:00.000000000Z,93.6,1615031,167,93.6,93.7,210,210,420,0.1,,,93.6
AAPL.OQ,2014-06-09T21:00:00.000000000Z,93.7,19434,112,93.68,93.69,198,198,396,0.01,,,93.7
AAPL.OQ,2014-06-09T22:00:00.000000000Z,93.76,13032,96,93.75,93.76,103,103,206,0.01,,,93.76
AAPL.OQ,2014-06-09T23:00:00.000000000Z,93.76,8306,60,93.75,93.79,123,123,246,0.04,,,93.76
AAPL.OQ,2014-06-10T08:00:00.000000000Z,94.24,13040,69,92.94,94.24,668,668,1336,1.3,,,94.24
AAPL.OQ,2014-06-10T09:00:00.000000000Z,94.2,5493,34,92.94,94.32,443,443,886,1.38,,,94.2
AAPL.OQ,2014-06-10T10:00:00.000000000Z,94.13,2741,21,93.77,94.32,173,173,346,0.55,,,94.13
AAPL.OQ,2014-06-10T11:00:00.000000000Z,93.95,17435,119,93.89,93.98,708,708,1416,0.09,,,93.95
AAPL.OQ,2014-06-10T12:00:00.000000000Z,94.05,61180,351,94.05,94.07,574,574,1148,0.02,,,94.05
AAPL.OQ,2014-06-10T13:00:00.000000000Z,94.31,4346758,16898,94.29,94.32,40657,40657,81314,0.03,,,94.31
AAPL.OQ,2014-06-10T14:00:00.000000000Z,94.3,2107660,15496,94.28,94.31,45943,45943,91886,0.03,,,94.3
AAPL.OQ,2014-06-10T15:00:00.000000000Z,94,1343584,9191,93.99,94,26841,26841,53682,0.01,,,94
AAPL.OQ,2014-06-10T16:00:00.000000000Z,93.8,1061562,8155,93.79,93.81,27354,27354,54708,0.02,,,93.8
